travelCode,userCode_x,from,to,flightType,price_x,time,distance,agency,date_x,userCode_y,name_x,place,days,price_y,total,date_y,company,name_y,gender,age
0,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,09/26/2019,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019,4You,Roy Braun,male,21
0,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,09/30/2019,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019,4You,Roy Braun,male,21
2,0,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,10/10/2019,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019,4You,Wilma Mcinnis,female,48
2,0,Salvador (BH),Aracaju (SE),firstClass,1531.92,2.16,830.86,CloudFy,10/12/2019,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019,4You,Wilma Mcinnis,female,48
7,0,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,11/14/2019,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019,4You,Gregoria Gil,female,21
7,0,Salvador (BH),Aracaju (SE),economic,811.73,2.16,830.86,CloudFy,11/17/2019,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019,4You,Gregoria Gil,female,21
11,0,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,12/12/2019,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019,4You,Virginia Roberts,female,61
11,0,Salvador (BH),Brasilia (DF),premium,882.86,1.76,676.56,Rainbow,12/16/2019,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019,4You,Virginia Roberts,female,61
13,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,12/26/2019,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,4You,Irene Tucker,none,36
13,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,12/27/2019,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,4You,Irene Tucker,none,36
15,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,01/09/2020,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020,4You,Janice Cudney,female,56
15,0,Natal (RN),Recife (PE),premium,563.23,0.58,222.67,CloudFy,01/11/2020,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020,4You,Janice Cudney,female,56
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,02/27/2020,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,4You,Michele Ashford,female,51
22,0,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,02/29/2020,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,4You,Michele Ashford,female,51
29,0,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,04/16/2020,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020,4You,Lisa Natera,female,35
29,0,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,04/20/2020,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020,4You,Lisa Natera,female,35
32,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,05/07/2020,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020,4You,Wesley Locker,male,44
32,0,Sao Paulo (SP),Brasilia (DF),firstClass,742.94,0.67,257.81,CloudFy,05/09/2020,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020,4You,Wesley Locker,male,44
33,0,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,05/14/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020,4You,Ida Turzak,female,56
33,0,Salvador (BH),Brasilia (DF),premium,836.89,1.76,676.56,CloudFy,05/18/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020,4You,Ida Turzak,female,56
34,0,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,05/21/2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020,4You,Anita Petersen,female,21
34,0,Sao Paulo (SP),Aracaju (SE),premium,906.59,1.02,392.76,CloudFy,05/24/2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020,4You,Anita Petersen,female,21
38,0,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,06/18/2020,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020,4You,Nancy Dowdy,female,47
38,0,Natal (RN),Brasilia (DF),firstClass,1192.62,1.43,550.69,FlyingDrops,06/20/2020,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020,4You,Nancy Dowdy,female,47
